ケース番号,設定条件,追加条件,その他,設定ファイル名,最大高さ,90%高さ,ガスホールドアップ
1a,flat底面,z=40 mm,,input_202604_case1a,0.125,0.088,0.718
1b,flat底面,z=60 mm,,input_202604_case1b,0.138,0.096,0.742
1c,flat底面,z=80 mm,,input_202604_case1c,0.152,0.105,0.761
1d,curved底面,z=40 mm,,input_202604_case1d,0.119,0.082,0.705
1e,curved底面,z=60 mm,,input_202604_case1e,0.131,0.091,0.728
1f,curved底面,z=80 mm,,input_202604_case1f,0.145,0.100,0.750
1g,flat底面,z=40 mm,速度2倍,input_202604_case1g,0.198,0.141,0.839
1h,flat底面,z=60 mm,速度2倍,input_202604_case1h,0.215,0.155,0.861
1i,flat底面,z=80 mm,速度2倍,input_202604_case1i,0.231,0.168,0.879
1j,curved底面,z=40 mm,速度2倍,input_202604_case1j,0.188,0.133,0.822
1k,curved底面,z=60 mm,速度2倍,input_202604_case1k,0.201,0.144,0.845
1l,curved底面,z=80 mm,速度2倍,input_202604_case1l,0.218,0.158,0.868
1m,flat底面,z=40 mm,粒径小,input_202604_case1m,0.142,0.099,0.731
1n,flat底面,z=60 mm,粒径小,input_202604_case1n,0.156,0.110,0.755
1o,flat底面,z=80 mm,粒径小,input_202604_case1o,0.171,0.122,0.778
1q,curved底面,z=40 mm,粒径小,input_202604_case1q,0.135,0.094,0.718
